exporter,trade_category,value_2017_bn,value_2024_bn,change_pct
Mexico,manufacturing,397.7,508.4,27.8
Japan,manufacturing,38.2,44.4,16.4
Vietnam,manufacturing,43.9,49.6,13.0
Colombia,energy_goods,73.2,82.4,12.5
Israel,high_tech,45.2,49.1,8.7
Canada,integrated,510.0,547.8,7.4
Philippines,electronics,79.1,84.2,6.4
Taiwan,semiconductors,30.8,32.7,6.2
SouthKorea,manufacturing,35.0,36.9,5.5
India,IT_goods,55.3,57.3,3.5
EU,services_goods,324.8,334.6,3.0
Thailand,manufacturing,33.6,34.2,1.8
China,manufacturing,146.0,127.7,-12.5
